revenue_id,client_id,client_name,project_id,project_name,invoice_id,contract_id,revenue_period,revenue_date,revenue_amount,currency,revenue_type,revenue_stream,monthly_recurring_revenue_mrr,annual_recurring_revenue_arr,gross_revenue,net_revenue,tax_amount,profit_margin,recognition_date,payment_status,outstanding_amount,collection_days,revenue_growth_percentage,revenue_band,forecast_revenue,upsell_revenue,country,billing_frequency
REV00011,CLT030,Lane-Owen,PRJ010,Reinvent Clicks-And-Mortar Communities,INV00011,CON028,Feb-26,12-02-2026,4712122,SGD,Recognized,Recurring,392676.83,4712122,4712122,3863940.04,848181.96,15.3,17-02-2026,Paid,1506611,67,-5.71,High,5367165,30662,USA,Annual
REV00012,CLT016,"Cooper, Reynolds and Serrano",PRJ013,Evolve Collaborative Metrics,INV00012,CON008,Sep-25,16-09-2025,4828783,USD,Accrued,One-time,402398.58,4828783,4828783,3959602.06,869180.94,38.18,21-09-2025,Pending,1214081,81,-12.62,High,5188986,344652,Singapore,Monthly
REV00013,CLT014,"Short, Baldwin and Smith",PRJ017,Syndicate Web-Enabled Solutions,INV00013,CON017,Dec-25,06-12-2025,1161126,SGD,Accrued,Recurring,96760.5,1161126,1161126,952123.32,209002.68,32,11-12-2025,Overdue,461826,13,37.76,Medium,1347902,82704,USA,Annual
REV00014,CLT019,"Mccarthy, James and Kelly",PRJ020,Synergize Interactive Portals,INV00014,CON014,Sep-25,19-09-2025,2926288,INR,Deferred,Recurring,243857.33,2926288,2926288,2399556.16,526731.84,33.43,24-09-2025,Paid,553614,69,14.31,High,3867384,443602,UK,Monthly
REV00015,CLT005,Ward-Carroll,PRJ005,E-Enable Compelling E-Markets,INV00015,CON035,Jul-25,06-07-2025,352225,USD,Accrued,Recurring,29352.08,352225,352225,288824.5,63400.5,17.71,11-07-2025,Paid,38821,60,-7.35,Low,402409,471325,Singapore,Annual
REV00016,CLT022,"Martinez, King and Beard",PRJ014,Strategize Clicks-And-Mortar Mindshare,INV00016,CON052,Jun-25,07-06-2025,2131777,INR,Deferred,One-time,177648.08,2131777,2131777,1748057.14,383719.86,35.22,12-06-2025,Overdue,166931,105,27.08,High,2483013,20302,Singapore,Quarterly
REV00017,CLT035,Gonzales-Gutierrez,PRJ011,Aggregate Front-End Communities,INV00017,CON002,Mar-26,03-03-2026,1017556,USD,Deferred,Recurring,84796.33,1017556,1017556,834395.92,183160.08,34.81,08-03-2026,Overdue,93620,79,42.75,Medium,1149471,56834,USA,Quarterly
REV00018,CLT021,"Alexander, Anderson and Spears",PRJ004,Incubate Vertical Synergies,INV00018,CON047,Feb-26,07-02-2026,2569285,INR,Accrued,One-time,214107.08,2569285,2569285,2106813.7,462471.3,25.98,12-02-2026,Partial,324308,90,9.5,High,3007913,155008,UK,Annual
REV00019,CLT021,Burns Group,PRJ015,Envisioneer 24/365 Infrastructures,INV00019,CON029,Jun-25,12-06-2025,3759105,SGD,Deferred,One-time,313258.75,3759105,3759105,3082466.1,676638.9,5.25,17-06-2025,Partial,448164,70,13.39,High,4963350,417346,India,Monthly
REV00020,CLT027,Terry LLC,PRJ019,Syndicate B2B Architectures,INV00020,CON013,Feb-26,01-02-2026,3271044,USD,Recognized,One-time,272587,3271044,3271044,2682256.08,588787.92,12.57,06-02-2026,Paid,838132,36,-6.15,High,4109369,468010,Singapore,Monthly
REV00021,CLT029,"Hobbs, Mcconnell and Mills",PRJ020,Exploit Revolutionary Experiences,INV00021,CON053,Mar-26,08-03-2026,4284386,USD,Accrued,One-time,357032.17,4284386,4284386,3513196.52,771189.48,25.75,13-03-2026,Overdue,1148970,62,38.83,High,5454437,248866,Singapore,Annual
REV00022,CLT010,"Bean, Wright and Martinez",PRJ008,Streamline Out-Of-The-Box Web-Readiness,INV00022,CON025,Feb-26,12-02-2026,1331823,INR,Deferred,Recurring,110985.25,1331823,1331823,1092094.86,239728.14,30.68,17-02-2026,Paid,67348,58,9.46,Medium,1615212,217985,UK,Annual
REV00023,CLT039,"Briggs, Kaiser and Smith",PRJ008,Empower Interactive Convergence,INV00023,CON032,Jul-25,24-07-2025,1890642,SGD,Deferred,Recurring,157553.5,1890642,1890642,1550326.44,340315.56,32.76,29-07-2025,Overdue,457007,67,-13.26,Medium,2175824,356065,Singapore,Annual
REV00024,CLT014,"Elliott, Norton and Miller",PRJ015,Monetize Innovative E-Markets,INV00024,CON021,Nov-25,03-11-2025,2881159,USD,Accrued,Recurring,240096.58,2881159,2881159,2362550.38,518608.62,17.57,08-11-2025,Paid,583546,101,42.07,High,3389595,437733,India,Quarterly
REV00025,CLT031,Knox and Sons,PRJ004,Implement 24/365 Convergence,INV00025,CON037,Apr-26,03-04-2026,1878419,INR,Recognized,Recurring,156534.92,1878419,1878419,1540303.58,338115.42,19.56,08-04-2026,Paid,733442,37,31.01,Medium,2066893,318372,USA,Quarterly
REV00026,CLT020,Dennis Ltd,PRJ020,Reinvent Extensible Partnerships,INV00026,CON052,Apr-26,22-04-2026,1065483,INR,Accrued,One-time,88790.25,1065483,1065483,873696.06,191786.94,3.44,27-04-2026,Pending,296711,105,-12.54,Medium,1289046,346827,Australia,Monthly
REV00027,CLT040,Oneal-Banks,PRJ018,Morph Real-Time E-Markets,INV00027,CON050,Mar-26,26-03-2026,4105871,INR,Deferred,Recurring,342155.92,4105871,4105871,3366814.22,739056.78,22.26,31-03-2026,Partial,913465,110,28.86,High,4641763,446542,USA,Quarterly
REV00028,CLT018,Woods-Ramos,PRJ020,Deploy Magnetic Partnerships,INV00028,CON045,Nov-25,09-11-2025,2367508,USD,Recognized,One-time,197292.33,2367508,2367508,1941356.56,426151.44,21.2,14-11-2025,Overdue,10644,71,41.88,High,2546690,377526,Australia,Annual
REV00029,CLT034,"Rogers, Lewis and Andrews",PRJ012,Brand User-Centric Initiatives,INV00029,CON028,Jul-25,20-07-2025,4666993,SGD,Deferred,Recurring,388916.08,4666993,4666993,3826934.26,840058.74,33.09,25-07-2025,Paid,737800,94,12.22,High,5329644,120868,Singapore,Annual
REV00030,CLT019,Gilmore-Hudson,PRJ004,Integrate Collaborative Users,INV00030,CON054,Sep-25,02-09-2025,1678376,USD,Recognized,One-time,139864.67,1678376,1678376,1376268.32,302107.68,28.65,07-09-2025,Partial,238533,51,-4.23,Medium,1769418,280040,India,Annual
REV00031,CLT017,Colon-Salazar,PRJ016,Incentivize Rich E-Markets,INV00031,CON008,Oct-25,04-10-2025,598140,SGD,Recognized,Recurring,49845,598140,598140,490474.8,107665.2,29.8,09-10-2025,Partial,128908,14,19.62,Medium,751225,79548,USA,Monthly
REV00032,CLT040,"Aguilar, Ramsey and Simmons",PRJ002,Brand Scalable Portals,INV00032,CON040,Mar-26,02-03-2026,882431,SGD,Recognized,Recurring,73535.92,882431,882431,723593.42,158837.58,36.16,07-03-2026,Partial,327950,32,0.88,Medium,948045,125758,India,Quarterly
REV00033,CLT017,Anthony-Zavala,PRJ019,Synergize Interactive Communities,INV00033,CON043,Feb-26,21-02-2026,1709427,INR,Recognized,One-time,142452.25,1709427,1709427,1401730.14,307696.86,19.42,26-02-2026,Partial,120351,74,-1.51,Medium,1871304,139267,India,Annual
REV00034,CLT039,"Rogers, Shea and Clements",PRJ002,Repurpose Vertical Action-Items,INV00034,CON057,Oct-25,04-10-2025,3674119,SGD,Accrued,Recurring,306176.58,3674119,3674119,3012777.58,661341.42,28.78,09-10-2025,Paid,1266079,37,-13.45,High,4110153,353526,USA,Monthly
REV00035,CLT031,Palmer and Sons,PRJ012,Optimize Web-Enabled Channels,INV00035,CON027,May-26,08-05-2026,2845993,SGD,Accrued,Recurring,237166.08,2845993,2845993,2333714.26,512278.74,22.37,13-05-2026,Pending,219361,114,-5.35,High,3339754,259768,UK,Quarterly
REV00036,CLT024,Young Inc,PRJ020,Architect Integrated Platforms,INV00036,CON049,Jul-25,17-07-2025,4231663,USD,Recognized,Recurring,352638.58,4231663,4231663,3469963.66,761699.34,13.42,22-07-2025,Pending,927027,102,-11.9,High,4782273,68688,UK,Annual
REV00037,CLT008,"Oliver, Newman and Marsh",PRJ005,Aggregate One-To-One Technologies,INV00037,CON032,Jun-25,13-06-2025,2498312,USD,Recognized,One-time,208192.67,2498312,2498312,2048615.84,449696.16,25.17,18-06-2025,Partial,739677,39,9.93,High,2984857,247579,Australia,Monthly
REV00038,CLT020,Walters PLC,PRJ019,Generate Seamless Content,INV00038,CON038,Apr-26,27-04-2026,4157400,USD,Recognized,Recurring,346450,4157400,4157400,3409068,748332,42.08,02-05-2026,Overdue,936477,73,14.06,High,4779895,399964,USA,Annual
REV00039,CLT032,Simpson Group,PRJ002,Transform Extensible Interfaces,INV00039,CON009,Oct-25,21-10-2025,4263523,INR,Deferred,Recurring,355293.58,4263523,4263523,3496088.86,767434.14,15.82,26-10-2025,Overdue,696243,116,-8.98,High,5557552,52277,Singapore,Monthly
REV00040,CLT035,Murphy and Sons,PRJ002,Incubate Customized Niches,INV00040,CON040,Aug-25,25-08-2025,623954,USD,Accrued,Recurring,51996.17,623954,623954,511642.28,112311.72,39.19,30-08-2025,Paid,165455,92,40.26,Medium,841856,391520,India,Quarterly
REV00041,CLT016,Duran-Taylor,PRJ017,Incentivize Distributed E-Markets,INV00041,CON027,Jul-25,16-07-2025,4797348,SGD,Deferred,Recurring,399779,4797348,4797348,3933825.36,863522.64,14.87,21-07-2025,Overdue,1662033,28,-4.8,High,5150866,456570,Singapore,Monthly
REV00042,CLT023,"Griffith, Berry and Cox",PRJ019,Cultivate Enterprise E-Services,INV00042,CON020,Jan-26,04-01-2026,3609361,INR,Deferred,One-time,300780.08,3609361,3609361,2959676.02,649684.98,33.5,09-01-2026,Overdue,958054,113,3.13,High,4871959,447393,Singapore,Annual
REV00043,CLT039,Anderson-Vasquez,PRJ016,Architect E-Business Models,INV00043,CON054,Jan-26,05-01-2026,2450770,SGD,Accrued,Recurring,204230.83,2450770,2450770,2009631.4,441138.6,10.74,10-01-2026,Partial,837665,34,21.42,High,2832345,333771,USA,Annual
REV00044,CLT019,"Martinez, Webb and Brown",PRJ011,Orchestrate Viral Solutions,INV00044,CON048,Jul-25,23-07-2025,3535492,INR,Deferred,One-time,294624.33,3535492,3535492,2899103.44,636388.56,38.51,28-07-2025,Pending,421097,21,32.19,High,4641882,191814,USA,Annual
REV00045,CLT017,"Gomez, Pierce and Fisher",PRJ018,Re-Contextualize Vertical Channels,INV00045,CON008,Jul-25,13-07-2025,3865021,INR,Deferred,Recurring,322085.08,3865021,3865021,3169317.22,695703.78,26.83,18-07-2025,Pending,1411023,100,25.34,High,4736073,431183,Singapore,Annual
REV00046,CLT032,Leon LLC,PRJ004,Target Open-Source Eyeballs,INV00046,CON007,Dec-25,14-12-2025,2019645,SGD,Deferred,Recurring,168303.75,2019645,2019645,1656108.9,363536.1,17.18,19-12-2025,Overdue,142254,54,12.22,High,2526870,389619,Singapore,Quarterly
REV00047,CLT024,Leblanc and Sons,PRJ018,Expedite Open-Source Vortals,INV00047,CON058,Feb-26,11-02-2026,3058774,INR,Accrued,Recurring,254897.83,3058774,3058774,2508194.68,550579.32,46.16,16-02-2026,Overdue,834959,40,-3.61,High,3323810,444613,Singapore,Monthly
REV00048,CLT010,Dixon and Sons,PRJ020,Target B2B Bandwidth,INV00048,CON001,Oct-25,21-10-2025,2375949,INR,Deferred,Recurring,197995.75,2375949,2375949,1948278.18,427670.82,5.02,26-10-2025,Paid,151716,21,17.41,High,3063914,57633,India,Annual
REV00049,CLT029,Smith Inc,PRJ012,Redefine Distributed Mindshare,INV00049,CON033,Apr-26,22-04-2026,964811,USD,Recognized,One-time,80400.92,964811,964811,791145.02,173665.98,21.27,27-04-2026,Pending,264156,33,41.72,Medium,1025603,410636,India,Quarterly
REV00050,CLT018,Taylor-Miller,PRJ020,Implement Dynamic Infrastructures,INV00050,CON041,Jan-26,24-01-2026,4960394,SGD,Deferred,Recurring,413366.17,4960394,4960394,4067523.08,892870.92,22.95,29-01-2026,Overdue,1493492,46,7.85,High,6097403,154611,Australia,Annual
REV00051,CLT021,"Harris, Wright and Fox",PRJ014,Redefine Scalable Eyeballs,INV00051,CON021,Nov-25,09-11-2025,2188170,INR,Recognized,One-time,182347.5,2188170,2188170,1794299.4,393870.6,29.35,14-11-2025,Paid,160053,92,40.38,High,2341648,436088,UK,Monthly
REV00052,CLT019,Mcclain-Reed,PRJ020,Strategize Dynamic Functionalities,INV00052,CON020,Oct-25,15-10-2025,2999822,USD,Deferred,Recurring,249985.17,2999822,2999822,2459854.04,539967.96,42.39,20-10-2025,Paid,1064121,32,-5.72,High,3583757,444216,Australia,Quarterly
REV00053,CLT022,Taylor Ltd,PRJ012,Redefine 24/365 Partnerships,INV00053,CON001,Oct-25,09-10-2025,1571740,INR,Recognized,One-time,130978.33,1571740,1571740,1288826.8,282913.2,39.56,14-10-2025,Paid,593830,89,9.05,Medium,1717224,331964,Australia,Quarterly
REV00054,CLT040,"Krueger, Mccullough and Martin",PRJ002,Strategize Value-Added E-Commerce,INV00054,CON044,Jul-25,16-07-2025,734355,INR,Recognized,One-time,61196.25,734355,734355,602171.1,132183.9,27.53,21-07-2025,Pending,232318,89,10.44,Medium,904815,217151,Australia,Quarterly
REV00055,CLT020,Sellers PLC,PRJ007,Whiteboard Best-Of-Breed Technologies,INV00055,CON050,Sep-25,30-09-2025,1201208,INR,Deferred,Recurring,100100.67,1201208,1201208,984990.56,216217.44,10.55,05-10-2025,Overdue,133965,42,4.69,Medium,1264053,391650,Singapore,Annual
REV00056,CLT037,Pierce-Green,PRJ013,Deploy Cross-Platform Content,INV00056,CON046,Mar-26,01-03-2026,3553870,SGD,Recognized,One-time,296155.83,3553870,3553870,2914173.4,639696.6,30.38,06-03-2026,Overdue,241536,56,-13.75,High,4077818,420123,USA,Monthly
REV00057,CLT033,Ho Inc,PRJ004,Benchmark Leading-Edge Metrics,INV00057,CON034,Sep-25,26-09-2025,4327787,INR,Recognized,One-time,360648.92,4327787,4327787,3548785.34,779001.66,39.76,01-10-2025,Partial,1627868,49,6.07,High,5788272,338398,India,Monthly
REV00058,CLT040,Spencer-Sullivan,PRJ011,Iterate 24/7 Portals,INV00058,CON056,Aug-25,06-08-2025,2701965,SGD,Deferred,Recurring,225163.75,2701965,2701965,2215611.3,486353.7,36.93,11-08-2025,Pending,922249,13,13.14,High,3348857,417506,India,Quarterly
REV00059,CLT038,Mills-Morales,PRJ018,Utilize Revolutionary Networks,INV00059,CON051,Jun-25,30-06-2025,394123,INR,Recognized,One-time,32843.58,394123,394123,323180.86,70942.14,14.74,05-07-2025,Partial,149856,88,-3.71,Low,485363,262860,UK,Annual
REV00060,CLT019,"Bautista, Wright and Baker",PRJ013,Benchmark Efficient Niches,INV00060,CON027,Apr-26,06-04-2026,2888429,USD,Recognized,One-time,240702.42,2888429,2888429,2368511.78,519917.22,46.58,11-04-2026,Pending,701810,13,4.78,High,3516341,202670,Australia,Monthly
REV00061,CLT022,Perkins Group,PRJ005,Harness Cutting-Edge Markets,INV00061,CON043,Sep-25,08-09-2025,4465707,INR,Deferred,One-time,372142.25,4465707,4465707,3661879.74,803827.26,45.87,13-09-2025,Pending,1354812,90,10.4,High,5173737,190105,Singapore,Monthly
REV00062,CLT011,"Ferguson, Kelley and Anderson",PRJ006,Engineer Impactful Deliverables,INV00062,CON054,Jun-25,23-06-2025,1438643,SGD,Recognized,Recurring,119886.92,1438643,1438643,1179687.26,258955.74,12.32,28-06-2025,Pending,45814,57,6.86,Medium,1821143,232888,UK,Quarterly
REV00063,CLT039,"Fleming, Woods and Barrera",PRJ005,Strategize Extensible E-Commerce,INV00063,CON056,Mar-26,12-03-2026,2147178,USD,Recognized,One-time,178931.5,2147178,2147178,1760685.96,386492.04,48.11,17-03-2026,Paid,672324,66,37.45,High,2611746,53786,India,Quarterly
REV00064,CLT024,Lewis-Weiss,PRJ008,Iterate Sticky Systems,INV00064,CON025,Nov-25,26-11-2025,734556,INR,Recognized,One-time,61213,734556,734556,602335.92,132220.08,18.59,01-12-2025,Pending,117722,8,4.12,Medium,793118,374710,Singapore,Quarterly
REV00065,CLT039,"Harper, Schwartz and Carey",PRJ017,Incubate Customized Applications,INV00065,CON028,Mar-26,15-03-2026,982702,INR,Deferred,Recurring,81891.83,982702,982702,805815.64,176886.36,32.47,20-03-2026,Overdue,124591,43,-7.69,Medium,1102131,334994,India,Annual
REV00066,CLT006,Carter Inc,PRJ017,Whiteboard Robust Niches,INV00066,CON024,Jul-25,11-07-2025,617735,USD,Accrued,One-time,51477.92,617735,617735,506542.7,111192.3,24,16-07-2025,Overdue,142627,69,32.18,Medium,742694,10661,India,Quarterly
REV00067,CLT012,Johnson PLC,PRJ015,Productize Strategic Initiatives,INV00067,CON045,Jun-25,03-06-2025,4064210,INR,Recognized,Recurring,338684.17,4064210,4064210,3332652.2,731557.8,11.47,08-06-2025,Overdue,382264,108,-6.91,High,5140467,494720,USA,Monthly
REV00068,CLT023,"Schwartz, Martin and Freeman",PRJ002,Enhance Cutting-Edge Web Services,INV00068,CON056,Jan-26,13-01-2026,2834386,USD,Recognized,One-time,236198.83,2834386,2834386,2324196.52,510189.48,26.57,18-01-2026,Overdue,261043,107,7.08,High,3732449,389707,USA,Annual
REV00069,CLT021,"Smith, Wilson and Perez",PRJ004,Whiteboard Seamless Infrastructures,INV00069,CON006,May-26,22-05-2026,2800791,USD,Recognized,One-time,233399.25,2800791,2800791,2296648.62,504142.38,24.22,27-05-2026,Overdue,642768,62,21.16,High,3298869,361635,UK,Annual
REV00070,CLT039,"Whitehead, Richardson and Morgan",PRJ015,Optimize One-To-One Partnerships,INV00070,CON003,Dec-25,16-12-2025,1108894,SGD,Accrued,One-time,92407.83,1108894,1108894,909293.08,199600.92,47.34,21-12-2025,Paid,123729,104,23.71,Medium,1284814,497794,Singapore,Quarterly
REV00071,CLT002,Bryan-Martin,PRJ006,Productize Turn-Key Portals,INV00071,CON032,May-26,05-05-2026,4393162,SGD,Accrued,One-time,366096.83,4393162,4393162,3602392.84,790769.16,28.69,10-05-2026,Partial,1177913,20,0.71,High,4955868,233975,USA,Monthly
REV00072,CLT035,"Gonzalez, Martinez and Simon",PRJ010,Synergize Interactive Users,INV00072,CON058,Oct-25,07-10-2025,2566218,SGD,Recognized,Recurring,213851.5,2566218,2566218,2104298.76,461919.24,8.8,12-10-2025,Pending,165156,96,27.57,High,3233603,91273,Singapore,Monthly
REV00073,CLT026,Strickland-Adams,PRJ016,Implement Magnetic E-Services,INV00073,CON034,May-26,19-05-2026,3495999,USD,Deferred,Recurring,291333.25,3495999,3495999,2866719.18,629279.82,21.27,24-05-2026,Overdue,1205653,14,-7.48,High,4003297,38883,Australia,Annual
REV00074,CLT015,"White, Villanueva and Ross",PRJ012,Target Real-Time Initiatives,INV00074,CON034,Jan-26,12-01-2026,2432769,SGD,Accrued,Recurring,202730.75,2432769,2432769,1994870.58,437898.42,6.75,17-01-2026,Partial,82690,37,-3.22,High,3252382,143891,USA,Annual
REV00075,CLT014,Thompson-Clements,PRJ019,Deploy Sticky Paradigms,INV00075,CON027,Apr-26,03-04-2026,304056,INR,Deferred,One-time,25338,304056,304056,249325.92,54730.08,25.04,08-04-2026,Overdue,116522,85,17.73,Low,377811,158384,UK,Monthly
REV00076,CLT023,Collins-Banks,PRJ013,Utilize Out-Of-The-Box Solutions,INV00076,CON009,Aug-25,05-08-2025,3158316,INR,Recognized,Recurring,263193,3158316,3158316,2589819.12,568496.88,9.52,10-08-2025,Overdue,1177867,18,4.15,High,3758212,140232,Singapore,Quarterly
REV00077,CLT033,Cox Ltd,PRJ015,Repurpose User-Centric Experiences,INV00077,CON032,Dec-25,19-12-2025,2638225,SGD,Recognized,Recurring,219852.08,2638225,2638225,2163344.5,474880.5,3,24-12-2025,Partial,48604,16,41.71,High,3170179,126211,USA,Quarterly
REV00078,CLT026,Ross-Vasquez,PRJ012,Deploy Intuitive Functionalities,INV00078,CON003,Nov-25,26-11-2025,3410322,SGD,Accrued,One-time,284193.5,3410322,3410322,2796464.04,613857.96,47.38,01-12-2025,Overdue,1195967,76,-3.32,High,4146838,38551,UK,Annual
REV00079,CLT003,"Walker, Cooper and David",PRJ002,Incubate Bleeding-Edge Action-Items,INV00079,CON003,Jan-26,15-01-2026,1199544,USD,Deferred,Recurring,99962,1199544,1199544,983626.08,215917.92,13.18,20-01-2026,Partial,174609,107,13.42,Medium,1423974,317855,Australia,Quarterly
REV00080,CLT022,Garcia-Pham,PRJ004,Utilize Plug-And-Play Bandwidth,INV00080,CON027,Nov-25,10-11-2025,4946448,USD,Accrued,Recurring,412204,4946448,4946448,4056087.36,890360.64,35.31,15-11-2025,Overdue,1670915,120,28.52,High,6214782,13970,Australia,Annual
REV00081,CLT002,White PLC,PRJ015,Integrate 24/365 Networks,INV00081,CON021,Mar-26,14-03-2026,3562983,SGD,Accrued,Recurring,296915.25,3562983,3562983,2921646.06,641336.94,40.35,19-03-2026,Overdue,866040,93,-2.77,High,4277524,320590,India,Annual
REV00082,CLT017,Sanchez and Sons,PRJ020,Grow Dot-Com E-Commerce,INV00082,CON031,Nov-25,23-11-2025,1662828,SGD,Accrued,One-time,138569,1662828,1662828,1363518.96,299309.04,32.26,28-11-2025,Pending,292559,76,2.91,Medium,2215627,156035,Singapore,Quarterly
REV00083,CLT003,Johnson and Sons,PRJ010,Benchmark 24/365 Deliverables,INV00083,CON046,Oct-25,27-10-2025,712946,SGD,Recognized,Recurring,59412.17,712946,712946,584615.72,128330.28,20.16,01-11-2025,Pending,231932,88,0.39,Medium,851060,105941,USA,Annual
REV00084,CLT031,Shepard Ltd,PRJ004,Revolutionize B2C Models,INV00084,CON044,Jul-25,06-07-2025,1203157,USD,Deferred,One-time,100263.08,1203157,1203157,986588.74,216568.26,50.94,11-07-2025,Overdue,288543,25,9.41,Medium,1600811,460534,Singapore,Quarterly
REV00085,CLT032,Rogers and Sons,PRJ006,Reinvent Magnetic E-Business,INV00085,CON060,Sep-25,11-09-2025,2478224,USD,Accrued,One-time,206518.67,2478224,2478224,2032143.68,446080.32,5.98,16-09-2025,Pending,39286,6,2.9,High,3050284,486777,UK,Monthly
REV00086,CLT022,Johnson Inc,PRJ010,Visualize B2B Supply-Chains,INV00086,CON037,Mar-26,07-03-2026,1670354,INR,Accrued,Recurring,139196.17,1670354,1670354,1369690.28,300663.72,37.78,12-03-2026,Pending,640632,114,23.32,Medium,1957065,224239,UK,Monthly
REV00087,CLT037,Mitchell-Nelson,PRJ001,Cultivate Killer Markets,INV00087,CON017,Nov-25,25-11-2025,3066141,SGD,Accrued,One-time,255511.75,3066141,3066141,2514235.62,551905.38,31.51,30-11-2025,Pending,130284,90,-7.91,High,3501661,212555,India,Quarterly
REV00088,CLT014,Gutierrez-Roman,PRJ008,Whiteboard Mission-Critical Partnerships,INV00088,CON044,Mar-26,25-03-2026,736777,INR,Accrued,Recurring,61398.08,736777,736777,604157.14,132619.86,5.62,30-03-2026,Paid,234224,72,27.23,Medium,790879,295786,Australia,Annual
REV00089,CLT006,"Schroeder, Camacho and Summers",PRJ017,Innovate Turn-Key Markets,INV00089,CON029,Nov-25,07-11-2025,516706,SGD,Accrued,Recurring,43058.83,516706,516706,423698.92,93007.08,23.17,12-11-2025,Overdue,34588,70,9.93,Medium,629954,292970,USA,Quarterly
REV00090,CLT005,Bell LLC,PRJ016,Matrix Bricks-And-Clicks Partnerships,INV00090,CON003,Oct-25,03-10-2025,2458291,USD,Deferred,One-time,204857.58,2458291,2458291,2015798.62,442492.38,29.95,08-10-2025,Overdue,188724,103,-6.87,High,3054322,382357,UK,Quarterly
REV00091,CLT015,Peterson PLC,PRJ001,Synergize Frictionless Users,INV00091,CON049,Apr-26,23-04-2026,240717,INR,Deferred,Recurring,20059.75,240717,240717,197387.94,43329.06,31.41,28-04-2026,Partial,60686,91,28.15,Low,283381,198850,UK,Quarterly
REV00092,CLT039,Jones PLC,PRJ002,Brand Innovative Paradigms,INV00092,CON016,Dec-25,02-12-2025,421084,INR,Deferred,Recurring,35090.33,421084,421084,345288.88,75795.12,20.68,07-12-2025,Paid,115071,34,17.39,Low,537436,406880,Australia,Annual
REV00093,CLT018,"Rodriguez, Lewis and Ali",PRJ002,Target Cross-Platform Methodologies,INV00093,CON036,Sep-25,15-09-2025,1519123,SGD,Accrued,One-time,126593.58,1519123,1519123,1245680.86,273442.14,15.26,20-09-2025,Overdue,582851,68,-12.19,Medium,1752041,337282,USA,Quarterly
