contract_id,client_id,contract_type,project_name,project_start_date,project_end_date,contract_start_date,contract_end_date,total_contract_value,renewal_date,auto_renew_flag,payment_status,billing_frequency,contract_status
CON047,CLT022,Support,Expedite Compelling Architectures,18-03-2025,18-01-2027,18-03-2025,18-01-2027,7571866,19-12-2026,No,Pending,Quarterly,Under Review
CON048,CLT007,MSA,Mesh Proactive Info-Mediaries,15-01-2025,09-01-2026,15-01-2025,09-01-2026,4807954,10-12-2025,Yes,Overdue,Monthly,Expired
CON049,CLT005,MSA,Cultivate One-To-One Niches,03-03-2025,15-11-2025,03-03-2025,15-11-2025,8609040,16-10-2025,Yes,Overdue,Annual,Expired
CON050,CLT038,MSA,Utilize Granular Systems,06-02-2025,10-03-2026,06-02-2025,10-03-2026,9354211,08-02-2026,No,Overdue,Annual,Expired
CON051,CLT010,Support,Synergize Dynamic Technologies,15-11-2024,23-05-2026,15-11-2024,23-05-2026,3846463,23-04-2026,No,Paid,Quarterly,Under Review
CON052,CLT033,Support,Orchestrate Intuitive Portals,27-09-2024,26-06-2025,27-09-2024,26-06-2025,6204651,27-05-2025,Yes,Overdue,Monthly,Under Review
CON053,CLT011,Fixed Bid,Reinvent B2B Web Services,08-08-2024,15-07-2026,08-08-2024,15-07-2026,7586336,15-06-2026,Yes,Paid,Annual,Under Review
CON054,CLT010,Time & Material,Brand Cutting-Edge Niches,10-11-2024,16-09-2026,10-11-2024,16-09-2026,778132,17-08-2026,Yes,Pending,Monthly,Active
CON055,CLT017,Fixed Bid,Evolve Sticky Convergence,04-07-2024,13-01-2026,04-07-2024,13-01-2026,818206,14-12-2025,Yes,Overdue,Quarterly,Expired
CON056,CLT031,MSA,Transform Out-Of-The-Box Mindshare,17-06-2024,24-03-2026,17-06-2024,24-03-2026,769489,22-02-2026,No,Paid,Annual,Under Review
CON057,CLT018,Fixed Bid,Envisioneer Distributed Communities,01-02-2025,26-04-2026,01-02-2025,26-04-2026,6419298,27-03-2026,No,Pending,Annual,Under Review
CON058,CLT005,Time & Material,Scale Proactive Interfaces,08-11-2024,18-10-2026,08-11-2024,18-10-2026,6413749,18-09-2026,Yes,Overdue,Quarterly,Expired
CON059,CLT023,Support,Streamline Back-End Platforms,19-10-2024,28-08-2026,19-10-2024,28-08-2026,210690,29-07-2026,Yes,Pending,Monthly,Active
CON060,CLT005,Time & Material,Innovate Cross-Platform Architectures,10-03-2025,14-02-2027,10-03-2025,14-02-2027,3648668,15-01-2027,Yes,Paid,Monthly,Expired
